Location,Date
"christchurch, dorset, UK, bh23 3hw", 2015-01-10 06:24:18.497430+00:00
"Richfield, MN, USA, 55423", 2015-01-12 17:29:22.150226+00:00
"Baltimore, MD, United States, 21212", 2015-01-13 22:45:36.903580+00:00
"Coburg, VIC, Australia, 3058", 2015-01-10 09:58:29.491795+00:00
"Boise, ID, United States, 83702", 2015-02-16 17:49:58.219567+00:00
"Sydney, NSW, Australia, ", 2015-02-17 23:26:00.738805+00:00
"Honolulu, HI, United States, 96821", 2015-02-23 21:43:45.491813+00:00
"Malden, Massachusetts, United States, 02148", 2015-01-10 13:51:54.373129+00:00
"Billerica, Massachusetts, United States, 01821", 2015-01-10 11:30:28.767270+00:00
"New York, New York, United States, 11374", 2015-01-10 14:47:22.885194+00:00
"Oakland, CA, United States, 94607", 2015-01-10 16:13:44.507621+00:00
"Toronto, ON, Canada, M5S 2N2", 2015-01-12 17:29:59.533145+00:00
"Chicago, IL, United States, 60647", 2015-01-13 22:57:30.548898+00:00
"Mc Calla, AL, United States, ", 2015-01-10 14:44:14.498124+00:00
"Lake Geneva, WI, United States, ", 2015-01-10 14:46:39.464817+00:00
"Bloomington, IN, United States, ", 2015-02-16 17:53:24.346195+00:00
"Glanmire, County Cork, Ireland, None", 2015-02-17 23:31:57.137742+00:00
"Santee, CA, United States, 92071", 2015-01-10 15:26:19.549093+00:00
"Mentone, VIC, Australia, 3194", 2015-02-16 20:30:52.944610+00:00
"Sydney, NSW, Australia, 2113", 2015-02-17 23:48:11.676417+00:00
"Bethesda, MD, United States, ", 2015-01-10 16:54:43.727722+00:00
"Fredericton, New Brunswick, Canada, ", 2015-01-10 17:18:58.972315+00:00
"Menomonie, Wisconsin, United States, 54751", 2015-01-12 18:26:09.149740+00:00
"Grand Haven, MI, United States, ", 2015-01-13 15:01:17.537876+00:00
"Trenton, Ontario, Canada, K8V4A9", 2015-01-12 18:27:49.188804+00:00
"Minneapolis, MN, United States, 55423", 2015-01-13 04:02:02.966159+00:00
"Gravesend, Kent, United Kingdom, DA11 8PX", 2015-01-13 08:09:19.017941+00:00
"Toronto, ON, Canada, ", 2015-03-01 14:06:19.961044+00:00
"Seattle, WA, United States, 98115", 2015-01-13 23:57:37.791754+00:00
"Philadelphia, PA, United States, 19148", 2015-01-10 17:48:59.810416+00:00
"Collingswood, NJ, United States, None", 2015-01-10 17:47:01.838602+00:00
"Leon, Gto., Mexico, 37000", 2015-02-18 04:59:55.081583+00:00
"Cullowhee, NC, United States, ", 2015-02-16 21:17:25.505198+00:00
"Kailua, HI, United States, 96734", 2015-02-23 21:46:04.544329+00:00
"Orlando , Florida , United States, 32803", 2015-03-01 21:38:34.137098+00:00
"Tucson, AZ, United States, 85711", 2015-01-10 17:48:39.060478+00:00
"Castle Rock, CO, United States, None", 2015-01-10 03:10:02.984560+00:00
"San Carlos, CA, United States, None", 2015-01-10 02:48:19.635480+00:00
