Location,Date
"Nashville, Tennessee, United States, 37219", 2015-01-08 05:10:15.768457+00:00
"Tempe, Arizona, United States, 85281", 2015-01-04 00:18:37.210422+00:00
"Livermore, CA, United States, 94550", 2015-01-05 17:00:56.206231+00:00
"Calgary, Alberta, Canada, ", 2015-01-06 22:03:11.385928+00:00
"Pleasanton, CA, United States, ", 2015-01-08 12:35:02.451931+00:00
"Surrey, BC, Canada, V3T5G6", 2015-01-07 17:57:30.709559+00:00
"Oakland, CA, United States, 94618", 2015-01-03 01:35:29.137667+00:00
"New York, NY, United States, ", 2015-01-01 17:09:14.596199+00:00
"New Hudson, Michigan, USA, 48165", 2015-01-05 22:27:17.984372+00:00
"New York, NY, United States, 10704", 2015-01-08 05:12:49.951701+00:00
"Hartford, CT, USA, ", 2015-01-07 18:40:08.556947+00:00
"Kissimmee, FL, United States, 34741", 2015-01-08 12:45:07.127195+00:00
"Smyrna, GA, United States, ", 2015-01-09 20:50:09.765973+00:00
"Pittsburgh, Pennsylvania, USA, 15201", 2015-01-08 13:41:07.621922+00:00
"Willow Spring, NC, United States, ", 2015-01-03 13:10:48.816412+00:00
"Mesa, AZ, United States, 85209", 2015-01-03 13:39:12.778476+00:00
"Longstanton, England, United Kingdom, ", 2015-01-09 13:02:37.644009+00:00
"Orinda, California, United States, 94563", 2015-01-03 16:54:00.537097+00:00
"Dublin, Dublin, Ireland, ", 2015-01-03 18:09:58.684496+00:00
"Saint Matthews, Kentucky , United States, 40207", 2015-01-04 18:34:03.121597+00:00
"Vernon, BC, Canada, V1b3y1", 2015-01-04 08:38:13.861445+00:00
"Havertown, PA, United States, ", 2015-01-04 06:34:48.377324+00:00
"Torrance, California, United States, ", 2015-01-08 05:19:49.291964+00:00
"Cedar Hill, TX, United States, 75104", 2015-01-04 20:34:21.287082+00:00
"Wheatland, wy, usa, 82201", 2015-01-09 20:51:00.458406+00:00
"Knoxville, Tennessee, United States, 37923", 2015-01-08 13:00:12.439715+00:00
"na, Michigan, USA, 48009", 2015-01-08 13:53:04.830514+00:00
"Bellevue, Kentucky, United States, 41073", 2015-01-04 19:53:48.948628+00:00
"Sydney, NSW, Australia, 2049", 2015-01-04 20:15:59.817316+00:00
"Ringwood East, VIC, Australia, 3135", 2015-01-08 08:38:21.138563+00:00
"Pleasanton, CA, United States, 94566", 2015-01-06 01:19:08.174058+00:00
"Englewood, Florida, United States, 34224", 2015-01-06 23:22:14.964279+00:00
"Citrus Heights, CA, United States, ", 2015-01-08 05:23:09.397652+00:00
"Arncliffe, NSW, Australia, 2205", 2015-01-05 04:53:06.748188+00:00
"Glastonbury, CT, United States, ", 2015-01-05 13:26:21.355381+00:00
"Emmaus, PA, United States, ", 2015-01-05 16:49:15.637548+00:00
"Holland Park, QLD, Australia, 4121", 2015-01-08 05:30:37.645363+00:00
"seattle, wa, USA, 98144", 2015-01-07 01:46:15.397423+00:00
"Austin, TX, United States, 78731", 2015-01-09 13:03:44.272433+00:00
"newport news, virginia, usa, 23606", 2015-01-08 09:19:27.425535+00:00
"Chicago, IL, USA, 60001", 2015-01-08 13:55:09.337796+00:00
"Livermore, CA, United States, ", 2015-01-05 17:48:47.232019+00:00
"St Louis, MO, United States, 63124", 2015-01-05 20:16:04.080655+00:00
"Falls Church, Virginia, United States, ", 2015-01-09 15:46:03.191644+00:00
"Alexandria, VA, United States, 22314", 2015-01-05 21:18:11.827338+00:00
"Oakland, CA, United States, ", 2015-01-06 06:02:13.468116+00:00
"Nashville, Tennessee, United States, 37212", 2015-01-07 05:22:49.729219+00:00
"Olney, MD, United States, 20832", 2015-01-08 13:55:09.394370+00:00
"San Tan Valley, AZ, United States, 85142", 2015-01-05 23:27:31.266574+00:00
"FULTON, Missouri, United States, 65251", 2015-01-07 22:01:23.530536+00:00
"Arvada, CO, United States, ", 2015-01-06 00:34:16.559985+00:00
"Austin, TX, United States, None", 2015-01-09 16:00:01.694001+00:00
"Portland, Oregon, United States, 97206", 2015-01-08 05:30:47.025043+00:00
"Plymouth, MA, United States, ", 2015-01-08 10:33:43.254233+00:00
"Montreal, QC, Canada, ", 2015-01-08 13:57:17.594331+00:00
"Carnegie, VIC, Australia, 3163", 2015-01-07 03:36:40.133817+00:00
"Sebeka, MN, United States, ", 2015-01-07 20:24:44.857240+00:00
"Sacramento, CA, United States, 95835", 2015-01-07 20:34:17.186763+00:00
"Tokyo, Tokyo, Japan, ", 2015-01-07 20:36:54.720467+00:00
"Greensboro, NC, United States, 27407", 2015-01-07 22:30:22.514282+00:00
"Grayson, GA, USA, 30017", 2015-01-08 13:03:14.454675+00:00
"South Jordan, Utah, United States, 84095", 2015-01-07 20:43:43.389542+00:00
"Canberra, ACT, Australia, 2615", 2015-01-08 05:33:25.481590+00:00
"Queensbury, NY, United States, 12804", 2015-01-07 22:36:30.594982+00:00
"Cape Town, South Africa, Western Cape, South Africa, 7780", 2015-01-08 10:39:45.723576+00:00
"York, England, United Kingdom, ", 2015-01-09 13:06:59.458431+00:00
"Mounds View, MN, United States, 55112", 2015-01-09 15:21:55.856623+00:00
"San Diego, CA, United States, ", 2015-01-07 20:50:46.510063+00:00
"Westminster, CO, United States, ", 2015-01-07 22:40:31.617217+00:00
"Azusa, CA, United States, 91702", 2015-01-07 20:58:19.886466+00:00
"North Windham, Conn, USA, 06256", 2015-01-08 10:57:36.310903+00:00
"Pittsburgh, PA, United States, 15241", 2015-01-08 13:03:08.904218+00:00
"Austin, TX, United States, 78744", 2015-01-08 21:05:25.279831+00:00
"Needham, MA, United States, 02492", 2015-01-07 21:24:02.650398+00:00
"Denver, CO, United States, ", 2015-01-07 21:31:54.426792+00:00
"Los Angeles, CA, United States, 90021", 2015-01-07 21:56:09.307781+00:00
"Tranmere, South Australia, Australia, 5073", 2015-01-07 22:19:58.073500+00:00
"Washington, NC, United States, 27889", 2015-01-08 11:04:19.614834+00:00
"Kennewick, WA, USA, 99338", 2015-01-08 05:59:49.230690+00:00
"Lincoln, NE, USA, 68510", 2015-01-08 13:05:30.751485+00:00
"Petaluma, California, United States, 94952", 2015-01-09 16:08:32.233137+00:00
"San Francisco , Ca, Us, 94127", 2015-01-08 21:09:11.528103+00:00
"Pittsburgh, Pennsylvania, United States, 15222", 2015-01-08 13:07:35.961760+00:00
"Orange Park, Florida, United States, 32003", 2015-01-08 13:15:21.200757+00:00
"Washington, DC, United States, 20016", 2015-01-09 14:21:41.628491+00:00
"Southbury, CT, United States, 06488", 2015-01-08 13:35:45.395348+00:00
